Time 	DB	Shannon	Concentration
PRE	0	5.506032413	421.756
PRE	0	6.273130676	1186.865
PRE	0	5.776331388	418.246
PRE	0	5.998284339	535.655
PRE	0	5.998689461	426.835
PRE	0	5.122536307	665.488
PRE	0	6.188609888	440.539
PRE	0	5.939266953	813.723
PRE	0	5.627594221	222.9
PRE	0	5.883864073	863.854
PRE	0	6.396624043	734.065
PRE	0	5.645645865	434.224
PRE	0	5.774387159	388.749
PRE	0	4.110209577	0
PRE	0	6.19614738	284.206
PRE	0	6.024477076	294.574
PRE	0	4.647332486	344.459
PRE	0	5.52194221	903.594
PRE	0	5.750248473	507.942
PRE	0	5.415701679	168.735
PRE	0	5.920709513	957.038
PRE	0	5.8068164	470.478
PRE	0	6.410157648	942.795
PRE	0	5.836282442	372.178
PRE	0	5.166614553	508.373
POST	0	5.746926817	1755.76
POST	0	6.356172535	1525.186
POST	0	6.40521389	1225.378
POST	0	5.891240994	2663.143
POST	0	6.011514993	784.525
POST	0	6.368748438	964.434
POST	0	6.11203025	1681.024
POST	0	5.944681755	2076.269
POST	0	6.057762676	568.32
POST	0	6.606162259	1284.291
POST	0	6.413936583	772.204
POST	0	6.622723174	949.223
POST	0	5.630190367	736.07
POST	0	6.455663972	449.654
POST	0	6.571816922	1494.102
POST	0	6.299103526	1127.091
POST	0	5.599896364	516.4
POST	0	6.340236603	822.554
POST	0	6.070215086	929.996
POST	0	6.56394739	1406.858
POST	0	5.933525338	453.654
POST	0	5.351030432	693.712
POST	0	6.429618914	1628.931
POST	0	5.873351279	761.979
POST	0	5.822709732	441.599
POST	0	6.229730943	1124.608
POST	0	5.548980062	1053.97
PRE	1	5.506032413	203.797
PRE	1	6.273130676	320.36
PRE	1	5.776331388	158.642
PRE	1	5.998284339	396.82
PRE	1	5.998689461	248.487
PRE	1	5.122536307	305.393
PRE	1	6.188609888	106.56
PRE	1	5.939266953	191.921
PRE	1	5.627594221	314.629
PRE	1	5.883864073	512.44
PRE	1	6.396624043	218.83
PRE	1	5.645645865	452.82
PRE	1	5.774387159	109.468
PRE	1	4.110209577	0
PRE	1	6.19614738	237.004
PRE	1	6.024477076	527.844
PRE	1	4.647332486	156.431
PRE	1	5.52194221	414.484
PRE	1	5.750248473	303.161
PRE	1	5.415701679	215.236
PRE	1	5.920709513	166.327
PRE	1	5.8068164	593.284
PRE	1	6.410157648	308.02
PRE	1	5.836282442	108.49
PRE	1	5.166614553	137.334
POST	1	5.746926817	928.203
POST	1	6.356172535	191.348
POST	1	6.40521389	700.712
POST	1	5.891240994	372.769
POST	1	6.011514993	228.29
POST	1	6.368748438	535.173
POST	1	6.11203025	714.514
POST	1	5.944681755	326.334
POST	1	6.057762676	557.227
POST	1	6.606162259	383.436
POST	1	6.413936583	973.585
POST	1	6.622723174	727.298
POST	1	5.630190367	470.972
POST	1	6.455663972	761.259
POST	1	6.571816922	392.473
POST	1	6.299103526	821.84
POST	1	5.599896364	654.731
POST	1	6.340236603	1204.027
POST	1	6.070215086	649.221
POST	1	6.56394739	501.186
POST	1	5.933525338	461.428
POST	1	5.351030432	703.028
POST	1	6.429618914	592.219
POST	1	5.873351279	967.639
POST	1	5.822709732	266.542
POST	1	6.229730943	476.535
POST	1	5.548980062	663.441
PRE	2	5.506032413	157.404
PRE	2	6.273130676	19.75
PRE	2	5.776331388	75.056
PRE	2	5.998284339	266.299
PRE	2	5.998689461	207.363
PRE	2	5.122536307	106.104
PRE	2	6.188609888	91.589
