Time	DB	Concentration	
PRE	0	421.756	
PRE	0	1186.865	
PRE	0	418.246	
PRE	0	535.655	
PRE	0	426.835	
PRE	0	665.488	
PRE	0	440.539	
PRE	0	813.723	
PRE	0	222.9	
PRE	0	863.854	
PRE	0	734.065	
PRE	0	709.22	
PRE	0	434.224	
PRE	0	1900.787	
PRE	0	388.749	
PRE	0	0	
PRE	0	284.206	
PRE	0	294.574	
PRE	0	344.459	
PRE	0	903.594	
PRE	0	507.942	
PRE	0	1132.491	
PRE	0	168.735	
PRE	0	957.038	
PRE	0	470.478	
PRE	0	942.795	
PRE	0	528.071	
PRE	0	372.178	
PRE	0	508.373	
PRE	0	370.827	
POST	0	1755.76	
POST	0	1525.186	
POST	0	1225.378	
POST	0	2663.143	
POST	0	784.525	
POST	0	964.434	
POST	0	1681.024	
POST	0	2076.269	
POST	0	568.32	
POST	0	1284.291	
POST	0	772.204	
POST	0	949.223	
POST	0	736.07	
POST	0	449.654	
POST	0	1494.102	
POST	0	1127.091	
POST	0	516.4	
POST	0	822.554	
POST	0	929.996	
POST	0	1406.858	
POST	0	453.654	
POST	0	693.712	
POST	0	1628.931	
POST	0	761.979	
POST	0	441.599	
POST	0	1124.608	
POST	0	1053.97	
POST	0	403.574	
POST	0	468.553	
POST	0	488.144	
POST	0	612.436	
POST	0	286.803	
POST	0	266.596	
POST	0	309.964	
PRE	1	203.797	
PRE	1	320.36	
PRE	1	158.642	
PRE	1	396.82	
PRE	1	248.487	
PRE	1	305.393	
PRE	1	106.56	
PRE	1	191.921	
PRE	1	314.629	
PRE	1	512.44	
PRE	1	218.83	
PRE	1	375.99	
PRE	1	452.82	
PRE	1	963.877	
PRE	1	109.468	
PRE	1	0	
PRE	1	237.004	
PRE	1	527.844	
PRE	1	156.431	
PRE	1	414.484	
PRE	1	303.161	
PRE	1	414.961	
PRE	1	215.236	
PRE	1	166.327	
PRE	1	593.284	
PRE	1	308.02	
PRE	1	140.326	
PRE	1	108.49	
PRE	1	137.334	
PRE	1	777.004	
POST	1	928.203	
POST	1	191.348	
POST	1	700.712	
POST	1	372.769	
POST	1	228.29	
POST	1	535.173	
POST	1	714.514	
POST	1	326.334	
POST	1	557.227	
POST	1	383.436	
POST	1	973.585	
POST	1	727.298	
POST	1	470.972	
POST	1	761.259	
POST	1	392.473	
POST	1	821.84	
POST	1	654.731	
POST	1	1204.027	
POST	1	649.221	
POST	1	501.186	
POST	1	461.428	
POST	1	703.028	
POST	1	592.219	
POST	1	967.639	
POST	1	266.542	
POST	1	476.535	
POST	1	663.441	
PRE	2	157.404	
PRE	2	19.75	
PRE	2	75.056	
PRE	2	266.299	
PRE	2	207.363	
PRE	2	106.104	
PRE	2	91.589	
PRE	2	94.084	
PRE	2	139.378	
PRE	2	469.651	
PRE	2	0	
PRE	2	192.416	
PRE	2	421.934	
PRE	2	309.536	
PRE	2	24.519	
PRE	2	0	
PRE	2	90.107	
PRE	2	649.955	
PRE	2	140.59	
PRE	2	129.174	
PRE	2	91.11	
PRE	2	128.316	
PRE	2	217.806	
PRE	2	53.9	
PRE	2	279.451	
PRE	2	34.137	
PRE	2	192.096	
PRE	2	20.833	
PRE	2	19.631	
PRE	2	852.892	
POST	2	192.826	
POST	2	50.313	
POST	2	291.31	
POST	2	134.619	
POST	2	111.247	
POST	2	135.572	
POST	2	45.019	
POST	2	40.877	
POST	2	653.493	
POST	2	171.586	
POST	2	143.696	
POST	2	260.787	
POST	2	182.168	
POST	2	581.966	
POST	2	127.003	
POST	2	303.293	
POST	2	871.525	
POST	2	294.455	
POST	2	227.107	
POST	2	205.045	
POST	2	501.094	
POST	2	228.914	
POST	2	156.545	
POST	2	825.731	
POST	2	397.159	
POST	2	196.672	
POST	2	77.866	
PRE	3	11.069	
PRE	3	2.188	
PRE	3	5.167	
PRE	3	114.316	
PRE	3	52.856	
PRE	3	14.083	
PRE	3	3.521	
PRE	3	125.172	
PRE	3	38.426	
PRE	3	23.733	
PRE	3	0	
PRE	3	15.071	
PRE	3	49.877	
PRE	3	8.801	
PRE	3	0	
PRE	3	0	
PRE	3	6.941	
PRE	3	339.325	
PRE	3	195.128	
PRE	3	11.206	
PRE	3	13.473	
PRE	3	79.434	
PRE	3	11.038	
PRE	3	1.926	
PRE	3	24.018	
PRE	3	14.832	
PRE	3	29.492	
PRE	3	2.648	
PRE	3	0	
PRE	3	173.544	
POST	3	25.161	
POST	3	6.522	
POST	3	318.942	
POST	3	64.888	
POST	3	44.555	
POST	3	4.883	
POST	3	4.66	
POST	3	3.458	
POST	3	165.686	
POST	3	9.954	
POST	3	24.627	
POST	3	312.996	
POST	3	289.434	
POST	3	640.29	
POST	3	17.738	
POST	3	307.274	
POST	3	394.625	
POST	3	25.026	
POST	3	303.645	
POST	3	178.169	
POST	3	296.538	
POST	3	445.888	
POST	3	78.589	
POST	3	518.401	
POST	3	54.242	
POST	3	346.957	
POST	3	20.774	
