"Proband"	"Time"	"k__Bacteria.p__Actinobacteria"	"k__Bacteria.p__Bacteroidetes"	"k__Bacteria.p__Firmicutes"	"k__Bacteria.p__Proteobacteria"	"k__Bacteria.p__Tenericutes"	"k__Bacteria.p__Verrucomicrobia"
"05AP"	"PRE"	0.0226504751798636	0.0593458281051609	0.109922326464242	0.00752472137673123	0.000179428761495062	0.00165557727573672
"05AP"	"POST"	0.0188768943587894	0.0382113895488203	0.117067334124598	0.0123063780837595	2.55571457779595e-05	0.0190042010613047
"05AP"	"FOLLOW-UP"	0.0185334742648066	0.0623241451890544	0.111065389505767	0.00927943431225475	0.000386693004551842	0.00136598177849004
"06WT"	"PRE"	0.0203553714213851	0.0267468552617826	0.141339232184613	0.00317184146891604	0.00576332966394783	0.00611808364303123
"06WT"	"POST"	0.0115098131783806	0.0352298173100228	0.142440022206814	0.00281599521327342	0.000999469209042712	0.00886603417291136
"07RW"	"PRE"	0.0300335933074077	0.00809908003336298	0.140224600118805	0.000541341624250511	0.00286968878304303	0.0156150113644963
"07RW"	"POST"	0.0122954458234455	0.0444877058301759	0.130536035268342	0.00714913957985987	0.00187116676414937	0.00706622067610589
"07RW"	"FOLLOW-UP"	0.0344575926601679	0.0128238544544649	0.128603450972215	0.00208517958609185	0.00218943856539645	0.0148569045509044
"13BS"	"PRE"	0.0171718273004797	0.0430113388573921	0.133558656781509	0.011938508504143	0.000327082424771042	0.0022895769733973
"13BS"	"POST"	0.0290525440465672	0.027181539421028	0.123798139389845	0.00925107842627722	0.00020788940283769	0.0145002858479289
"13BS"	"FOLLOW-UP"	0.0397374699795044	0.0287037010994334	0.13213061361485	0.0064020299447206	7.88386140948695e-05	0.000104881469917296
"17SK"	"PRE"	0.00817285590233437	0.02988200439291	0.157327476119937	0.00577207948102365	0.00010216069877918	0.000970526638402207
"17SK"	"POST"	0.00830287206266319	0.034934725848564	0.142245430809399	0.00355091383812011	0.000939947780678851	0.014934725848564
"17SK"	"FOLLOW-UP"	0.00498080315450866	0.0389644080107917	0.145325308706029	0.00907958908373975	0.00197156791532635	0.0035799522673031
"22WS"	"PRE"	0.0102781754960115	0.0830435671916547	0.105287379832277	0.00363059930456126	0.000255676007363469	0.000204540805890775
"22WS"	"POST"	0.0119058676245829	0.040547208563466	0.146492579441937	0.00463331255117709	0.000919578589896109	0.0017247681516638
"22WS"	"FOLLOW-UP"	0.0195756977706065	0.0439237333811775	0.133745489389614	0.00340537722898227	0.000361295038589973	0.00200826762924989
"25FE"	"PRE"	0.0130631378454519	0.0546199367554041	0.129087861755296	0.00440479726289624	5.1795106189545e-05	0.00188675887338404
"25FE"	"POST"	0.0189902159804021	0.0322728052059783	0.148905450230491	0.00430815183077752	5.2170283806344e-05	0.000336664430835788
